वाक्यम्,कर्ता,कर्म,क्रिया,कालः
हंसः मानसम् अगच्छत्,हंसः,मानसम्,अगच्छत्,भूत
बकः मत्स्यम् अध्यायत्,बकः,मत्स्यम्,अध्यायत्,भूत
मयूरः मेघम् अपश्यत्,मयूरः,मेघम्,अपश्यत्,भूत
कोकिलः आम्रम् अचुम्बत्,कोकिलः,आम्रम्,अचुम्बत्,भूत
चातकः जलम् अयाचत,चातकः,जलम्,अयाचत,भूत
चकोरः चन्द्रिकाम् अपिबत्,चकोरः,चन्द्रिकाम्,अपिबत्,भूत
कपोतः धान्यम् असङ्गृह्णात्,कपोतः,धान्यम्,असङ्गृह्णात्,भूत
गृध्रः शवम् अपश्यत्,गृध्रः,शवम्,अपश्यत्,भूत
व्याघ्रः हरिणं हन्ति,व्याघ्रः,हरिणम्,हन्ति,वर्तमान
सिंहः गजं विदारयति,सिंहः,गजम्,विदारयति,वर्तमान
गजः शाखां भिनत्ति,गजः,शाखाम्,भिनत्ति,वर्तमान
वृषभः शकटं वहति,वृषभः,शकटम्,वहति,वर्तमान
गौः दुग्धं यच्छति,गौः,दुग्धम्,यच्छति,वर्तमान
अश्वः मार्गं धावति,अश्वः,मार्गम्,धावति,वर्तमान
गर्दभः भारं नयति,गर्दभः,भारम्,नयति,वर्तमान
उष्ट्रः मरुभूमिं तरति,उष्ट्रः,मरुभूमिम्,तरति,वर्तमान
श्वानः गृहं रक्षति,श्वानः,गृहम्,रक्षति,वर्तमान
बिडालः मूषकं गृह्णाति,बिडालः,मूषकम्,गृह्णाति,वर्तमान
व्याघ्रः हरिणं हनिष्यति,व्याघ्रः,हरिणम्,हनिष्यति,भविष्यत्
सिंहः गजं विदारयिष्यति,सिंहः,गजम्,विदारयिष्यति,भविष्यत्
गजः शाखां भेत्स्यति,गजः,शाखाम्,भेत्स्यति,भविष्यत्
वृषभः शकटं वक्ष्यति,वृषभः,शकटम्,वक्ष्यति,भविष्यत्
गौः दुग्धं यम्स्यति,गौः,दुग्धम्,यम्स्यति,भविष्यत्
अश्वः मार्गं धाविष्यति,अश्वः,मार्गम्,धाविष्यति,भविष्यत्
गर्दभः भारं नेष्यति,गर्दभः,भारम्,नेष्यति,भविष्यत्
उष्ट्रः मरुभूमिं तरिष्यति,उष्ट्रः,मरुभूमिम्,तरिष्यति,भविष्यत्
श्वानः गृहं रक्षिष्यति,श्वानः,गृहम्,रक्षिष्यति,भविष्यत्
बिडालः मूषकं ग्रहीष्यति,बिडालः,मूषकम्,ग्रहीष्यति,भविष्यत्
व्याघ्रः हरिणम् अहन्,व्याघ्रः,हरिणम्,अहन्,भूत
सिंहः गजम् अविदारयत्,सिंहः,गजम्,अविदारयत्,भूत
गजः शाखाम् अभिनत्,गजः,शाखाम्,अभिनत्,भूत
वृषभः शकटम् अवहत्,वृषभः,शकटम्,अवहत्,भूत
गौः दुग्धम् अयच्छत्,गौः,दुग्धम्,अयच्छत्,भूत
अश्वः मार्गम् अधावत्,अश्वः,मार्गम्,अधावत्,भूत
गर्दभः भारम् अनयत्,गर्दभः,भारम्,अनयत्,भूत
उष्ट्रः मरुभूमिम् अतरत्,उष्ट्रः,मरुभूमिम्,अतरत्,भूत
श्वानः गृहम् अरक्षत्,श्वानः,गृहम्,अरक्षत्,भूत
बिडालः मूषकम् अगृह्णात्,बिडालः,मूषकम्,अगृह्णात्,भूत
मृगः शष्पं चरति,मृगः,शष्पम्,चरति,वर्तमान
शशकः कुञ्जं प्रविशति,शशकः,कुञ्जम्,प्रविशति,वर्तमान
शृगालः मांसं चोरयति,शृगालः,मांसम्,चोरयति,वर्तमान
वृकः उरणं खादति,वृकः,उरणम्,खादति,वर्तमान
ऋक्षः क्षौद्रं पिबति,ऋक्षः,क्षौद्रम्,पिबति,वर्तमान
वानरः फलं क्षिपति,वानरः,फलम्,क्षिपति,वर्तमान
कपिः वृक्षं कम्पयति,कपिः,वृक्षम्,कम्पयति,वर्तमान
अजः पल्लवं भक्षयति,अजः,पल्लवम्,भक्षयति,वर्तमान
मेषः शृङ्गं घर्षति,मेषः,शृङ्गम्,घर्षति,वर्तमान
वराहः पङ्कं खनति,वराहः,पङ्कम्,खनति,वर्तमान
मृगः शष्पं चरिष्यति,मृगः,शष्पम्,चरिष्यति,भविष्यत्
शशकः कुञ्जं प्रवेक्ष्यति,शशकः,कुञ्जम्,प्रवेक्ष्यति,भविष्यत्
शृगालः मांसं चोरयिष्यति,शृगालः,मांसम्,चोरयिष्यति,भविष्यत्
वृकः उरणं खादिष्यति,वृकः,उरणम्,खादिष्यति,भविष्यत्
ऋक्षः क्षौद्रं पास्यति,ऋक्षः,क्षौद्रम्,पास्यति,भविष्यत्
वानरः फलं क्षेप्स्यति,वानरः,फलम्,क्षेप्स्यति,भविष्यत्
कपिः वृक्षं कम्पयिष्यति,कपिः,वृक्षम्,कम्पयिष्यति,भविष्यत्
अजः पल्लवं भक्षयिष्यति,अजः,पल्लवम्,भक्षयिष्यति,भविष्यत्
मेषः शृङ्गं घर्षिष्यति,मेषः,शृङ्गम्,घर्षिष्यति,भविष्यत्
वराहः पङ्कं खनिष्यति,वराहः,पङ्कम्,खनिष्यति,भविष्यत्
मृगः शष्पम् अचरत्,मृगः,शष्पम्,अचरत्,भूत
शशकः कुञ्जम् प्राविशत्,शशकः,कुञ्जम्,प्राविशत्,भूत
शृगालः मांसम् अचोरयत्,शृगालः,मांसम्,अचोरयत्,भूत
वृकः उरणम् अखादत्,वृकः,उरणम्,अखादत्,भूत
ऋक्षः क्षौद्रम् अपिबत्,ऋक्षः,क्षौद्रम्,अपिबत्,भूत
वानरः फलम् अक्षिपत्,वानरः,फलम्,अक्षिपत्,भूत
कपिः वृक्षम् अकम्पयत्,कपिः,वृक्षम्,अकम्पयत्,भूत
अजः पल्लवम् अभक्षयत्,अजः,पल्लवम्,अभक्षयत्,भूत
मेषः शृङ्गम् अघर्षत्,मेषः,शृङ्गम्,अघर्षत्,भूत
वराहः पङ्कम् अखनत्,वराहः,पङ्कम्,अखनत्,भूत
मत्स्यः जलं गाहते,मत्स्यः,जलम्,गाहते,वर्तमान
कच्छपः कूर्पमं सङ्कोचयति,कच्छपः,कूर्पमम्,सङ्कोचयति,वर्तमान
मकरः जन्तुं कर्षति,मकरः,जन्तुम्,कर्षति,वर्तमान
शिशुमारः तरङ्गं खण्डयति,शिशुमारः,तरङ्गम्,खण्डयति,वर्तमान
सर्पः बिडालं दशति,सर्पः,बिडालम्,दशति,वर्तमान
अजगरः मृगं गिलति,अजगरः,मृगम्,गिलति,वर्तमान
गोधिका कुड्यं आरोहति,गोधिका,कुड्यम्,आरोहति,वर्तमान
कृकलासः वर्णं परिवर्तयति,कृकलासः,वर्णम्,परिवर्तयति,वर्तमान
मण्डूकः मक्षिकां खादति,मण्डूकः,मक्षिकाम्,खादति,वर्तमान
कीटः धान्यं दूषयति,कीटः,धान्यम्,दूषयति,वर्तमान
मत्स्यः जलं गाहिष्यते,मत्स्यः,जलम्,गाहिष्यते,भविष्यत्
कच्छपः कूर्पमं सङ्कोचयिष्यति,कच्छपः,कूर्पमम्,सङ्कोचयिष्यति,भविष्यत्
मकरः जन्तुं कर्क्ष्यति,मकरः,जन्तुम्,कर्क्ष्यति,भविष्यत्
शिशुमारः तरङ्गं खण्डयिष्यति,शिशुमारः,तरङ्गम्,खण्डयिष्यति,भविष्यत्
सर्पः बिडालं दङ्क्ष्यति,सर्पः,बिडालम्,दङ्क्ष्यति,भविष्यत्
अजगरः मृगं गिलिष्यति,अजगरः,मृगम्,गिलिष्यति,भविष्यत्
गोधिका कुड्यम् आरोक्ष्यति,गोधिका,कुड्यम्,आरोक्ष्यति,भविष्यत्
कृकलासः वर्णं परिवर्तयिष्यति,कृकलासः,वर्णम्,परिवर्तयिष्यति,भविष्यत्
मण्डूकः मक्षिकां खादिष्यति,मण्डूकः,मक्षिकाम्,खादिष्यति,भविष्यत्
कीटः धान्यं दूषयिष्यति,कीटः,धान्यम्,दूषयिष्यति,भविष्यत्
मत्स्यः जलम् अगाहत,मत्स्यः,जलम्,अगाहत,भूत
कच्छपः कूर्पमम् असङ्कोचयत्,कच्छपः,कूर्पमम्,असङ्कोचयत्,भूत
मकरः जन्तुम् अकर्षत्,मकरः,जन्तुम्,अकर्षत्,भूत
शिशुमारः तरङ्गम् अखण्डयत्,शिशुमारः,तरङ्गम्,अखण्डयत्,भूत
सर्पः बिडालम् अदशत्,सर्पः,बिडालम्,अदशत्,भूत
अजगरः मृगम् अगिलत्,अजगरः,मृगम्,अगिलत्,भूत
गोधिका कुड्यम् आरोहत्,गोधिका,कुड्यम्,आरोहत्,भूत
कृकलासः वर्णम् अपरिवर्तयत्,कृकलासः,वर्णम्,अपरिवर्तयत्,भूत
मण्डूकः मक्षिकाम् अखादत्,मण्डूकः,मक्षिकाम्,अखादत्,भूत
कीटः धान्यम् अदूषयत्,कीटः,धान्यम्,अदूषयत्,भूत
वृक्षः फलं ददाति,वृक्षः,फलम्,ददाति,वर्तमान
लता कुसुमं विकासयति,लता,कुसुमम्,विकासयति,वर्तमान
गुल्मः कण्टकं धारयति,गुल्मः,कण्टकम्,धारयति,वर्तमान
तृणं जलं शोषयति,तृणम्,जलम्,शोषयति,वर्तमान
औषधिः रोगं नाशयति,औषधिः,रोगम्,नाशयति,वर्तमान
वनस्पतिः पुष्पं न जनयति,वनस्पतिः,पुष्पम्,जनयति,वर्तमान
मूलं जलं पिबति,मूलम्,जलम्,पिबति,वर्तमान
काण्डं शाखां धारयति,काण्डम्,शाखाम्,धारयति,वर्तमान
पत्रं आतपं सहते,पत्रम्,आतपम्,सहते,वर्तमान
पुष्पं गन्धं प्रसारयति,पुष्पम्,गन्धम्,प्रसारयति,वर्तमान
वृक्षः फलं दास्यति,वृक्षः,फलम्,दास्यति,भविष्यत्
लता कुसुमं विकासयिष्यति,लता,कुसुमम्,विकासयिष्यति,भविष्यत्
गुल्मः कण्टकं धारयिष्यति,गुल्मः,कण्टकम्,धारयिष्यति,भविष्यत्
तृणं जलं शोषयिष्यति,तृणम्,जलम्,शोषयिष्यति,भविष्यत्
औषधिः रोगं नाशयिष्यति,औषधिः,रोगम्,नाशयिष्यति,भविष्यत्
वनस्पतिः पुष्पं न जनयिष्यति,वनस्पतिः,पुष्पम्,जनयिष्यति,भविष्यत्
मूलं जलं पास्यति,मूलम्,जलम्,पास्यति,भविष्यत्
काण्डं शाखां धारयिष्यति,काण्डम्,शाखाम्,धारयिष्यति,भविष्यत्
पत्रं आतपं सहिष्यते,पत्रम्,आतपम्,सहिष्यते,भविष्यत्
पुष्पं गन्धं प्रसारयिष्यति,पुष्पम्,गन्धम्,प्रसारयिष्यति,भविष्यत्
वृक्षः फलम् अददात्,वृक्षः,फलम्,अददात्,भूत
लता कुसुमम् अविकासयत्,लता,कुसुमम्,अविकासयत्,भूत
गुल्मः कण्टकम् अधारयत्,गुल्मः,कण्टकम्,अधारयत्,भूत
तृणं जलम् अशोषयत्,तृणम्,जलम्,अशोषयत्,भूत
औषधिः रोगम् अनाशयत्,औषधिः,रोगम्,अनाशयत्,भूत
वनस्पतिः पुष्पं न अजनयत्,वनस्पतिः,पुष्पम्,अजनयत्,भूत
मूलं जलम् अपिबत्,मूलम्,जलम्,अपिबत्,भूत
काण्डं शाखाम् अधारयत्,काण्डम्,शाखाम्,अधारयत्,भूत
पत्रं आतपम् असहत्,पत्रम्,आतपम्,असहत्,भूत
पुष्पं गन्धम् अप्रसारयत्,पुष्पम्,गन्धम्,अप्रसारयत्,भूत
अन्नं प्राणं रक्षति,अन्नम्,प्राणम्,रक्षति,वर्तमान
पयः पुष्टिं करोति,पयः,पुष्टिम्,करोति,वर्तमान
घृतं बलं वर्धयति,घृतम्,बलम्,वर्धयति,वर्तमान
मधु कफं हन्ति,मधु,कफम्,हन्ति,वर्तमान
लवणं रुचिं ददाति,लवणम्,रुचिम्,ददाति,वर्तमान
व्यञ्जनं भोजनं भूषयति,व्यञ्जनम्,भोजनम्,भूषयति,वर्तमान
सूपः पाकं सुकरोति,सूपः,पाकम्,सुकरोति,वर्तमान
रोटिका क्षुधां शमयति,रोटिका,क्षुधाम्,शमयति,वर्तमान
ओदनं तृप्तिं यच्छति,ओदनम्,तृप्तिम्,यच्छति,वर्तमान
पायसं मोदं जनयति,पायसम्,मोदम्,जनयति,वर्तमान
अन्नं प्राणं रक्षिष्यति,अन्नम्,प्राणम्,रक्षिष्यति,भविष्यत्
पयः पुष्टिं करिष्यति,पयः,पुष्टिम्,करिष्यति,भविष्यत्
घृतं बलं वर्धयिष्यति,घृतम्,बलम्,वर्धयिष्यति,भविष्यत्
मधु कफं हनिष्यति,मधु,कफम्,हनिष्यति,भविष्यत्
लवणं रुचिं दास्यति,लवणम्,रुचिम्,दास्यति,भविष्यत्
व्यञ्जनं भोजनं भूषयिष्यति,व्यञ्जनम्,भोजनम्,भूषयिष्यति,भविष्यत्
सूपः पाकं सुकरिष्यति,सूपः,पाकम्,सुकरिष्यति,भविष्यत्
रोटिका क्षुधां शमयिष्यति,रोटिका,क्षुधाम्,शमयिष्यति,भविष्यत्
ओदनं तृप्तिं यम्स्यति,ओदनम्,तृप्तिम्,यम्स्यति,भविष्यत्
पायसं मोदं जनयिष्यति,पायसम्,मोदम्,जनयिष्यति,भविष्यत्
अन्नं प्राणम् अरक्षत्,अन्नम्,प्राणम्,अरक्षत्,भूत
पयः पुष्टिम् अकरोत्,पयः,पुष्टिम्,अकरोत्,भूत
घृतं बलम् अवर्धयत्,घृतम्,बलम्,अवर्धयत्,भूत
मधु कफम् अहन्,मधु,कफम्,अहन्,भूत
लवणं रुचिम् अददात्,लवणम्,रुचिम्,अददात्,भूत
व्यञ्जनं भोजनम् अभूषयत्,व्यञ्जनम्,भोजनम्,अभूषयत्,भूत
सूपः पाकम् असुकरोत्,सूपः,पाकम्,असुकरोत्,भूत
रोटिका क्षुधाम् अशमयत्,रोटिका,क्षुधाम्,अशमयत्,भूत
ओदनं तृप्तिम् अयच्छत्,ओदनम्,तृप्तिम्,अयच्छत्,भूत
पायसं मोदम् अजनयत्,पायसम्,मोदम्,अजनयत्,भूत
वेदः ज्ञानं ददाति,वेदः,ज्ञानम्,ददाति,वर्तमान
स्मृतिः धर्मं बोधयति,स्मृतिः,धर्मम्,बोधयति,वर्तमान
पुराणं चरित्रं वर्णयति,पुराणम्,चरित्रम्,वर्णयति,वर्तमान
काव्यं रसं स्रवति,काव्यम्,रसम्,स्रवति,वर्तमान
नाटकं भावं दर्शयति,नाटकम्,भावम्,दर्शयति,वर्तमान
शास्त्रं विचारं कल्पयति,शास्त्रम्,विचारम्,कल्पयति,वर्तमान
दर्शनं सत्यं निरूपयति,दर्शनम्,सत्यम्,निरूपयति,वर्तमान
नीतिः व्यवहारं शिक्षयति,नीतिः,व्यवहारम्,शिक्षयति,वर्तमान
तर्कः प्रमाणं साधयति,तर्कः,प्रमाणम्,साधयति,वर्तमान
व्याकरणं शब्दं साधुकरोति,व्याकरणम्,शब्दम्,साधुकरोति,वर्तमान
वेदः ज्ञानं दास्यति,वेदः,ज्ञानम्,दास्यति,भविष्यत्
स्मृतिः धर्मं बोधयिष्यति,स्मृतिः,धर्मम्,बोधयिष्यति,भविष्यत्
पुराणं चरित्रं वर्णयिष्यति,पुराणम्,चरित्रम्,वर्णयिष्यति,भविष्यत्
काव्यं रसं स्रविष्यति,काव्यम्,रसम्,स्रविष्यति,भविष्यत्
नाटकं भावं दर्शयिष्यति,नाटकम्,भावम्,दर्शयिष्यति,भविष्यत्
शास्त्रं विचारं कल्पयिष्यति,शास्त्रम्,विचारम्,कल्पयिष्यति,भविष्यत्
दर्शनं सत्यं निरूपयिष्यति,दर्शनम्,सत्यम्,निरूपयिष्यति,भविष्यत्
नीतिः व्यवहारं शिक्षयिष्यति,नीतिः,व्यवहारम्,शिक्षयिष्यति,भविष्यत्
तर्कः प्रमाणं साधयिष्यति,तर्कः,प्रमाणम्,साधयिष्यति,भविष्यत्
व्याकरणं शब्दं साधुकरिष्यति,व्याकरणम्,शब्दम्,साधुकरिष्यति,भविष्यत्
वेदः ज्ञानम् अददात्,वेदः,ज्ञानम्,अददात्,भूत
स्मृतिः धर्मम् अबोधयत्,स्मृतिः,धर्मम्,अबोधयत्,भूत
पुराणं चरित्रम् अवर्णयत्,पुराणम्,चरित्रम्,अवर्णयत्,भूत
काव्यं रसम् अस्रवत्,काव्यम्,रसम्,अस्रवत्,भूत
नाटकं भावम् अदर्शयत्,नाटकम्,भावम्,अदर्शयत्,भूत
शास्त्रं विचारम् अकल्पयत्,शास्त्रम्,विचारम्,अकल्पयत्,भूत
दर्शनं सत्यम् अनिरूपयत्,दर्शनम्,सत्यम्,अनिरूपयत्,भूत
नीतिः व्यवहारम् अशिक्षयत्,नीतिः,व्यवहारम्,अशिक्षयत्,भूत
तर्कः प्रमाणम् असाधयत्,तर्कः,प्रमाणम्,असाधयत्,भूत
व्याकरणं शब्दम् असाधुकरोत्,व्याकरणम्,शब्दम्,असाधुकरोत्,भूत
सुखं शान्तिं जनयति,सुखम्,शान्तिम्,जनयति,वर्तमान
दुःखं खेदं करोति,दुःखम्,खेदम्,करोति,वर्तमान
हर्षः रोमाञ्चं कल्पयति,हर्षः,रोमाञ्चम्,कल्पयति,वर्तमान
विषादः अश्रुं मुञ्चति,विषादः,अश्रुम्,मुञ्चति,वर्तमान
क्रोधः विवेकं नाशयति,क्रोधः,विवेकम्,नाशयति,वर्तमान
लोभः पापं वर्धयति,लोभः,पापम्,वर्धयति,वर्तमान
मोहः अज्ञानं द्रढयति,मोहः,अज्ञानम्,द्रढयति,वर्तमान
कामः वासनां दी्पयति,कामः,वासनाम्,दी्पयति,वर्तमान
मदः गर्वं कल्पयति,मदः,गर्वम्,कल्पयति,वर्तमान
मात्सर्यं द्वेषं वर्धयति,मात्सर्यम्,द्वेषम्,वर्धयति,वर्तमान
सुखं शान्तिं जनयिष्यति,सुखम्,शान्तिम्,जनयिष्यति,भविष्यत्
दुःखं खेदं करिष्यति,दुःखम्,खेदम्,करिष्यति,भविष्यत्
हर्षः रोमाञ्चं कल्पयिष्यति,हर्षः,रोमाञ्चम्,कल्पयिष्यति,भविष्यत्
विषादः अश्रुं मोक्ष्यति,विषादः,अश्रुम्,मोक्ष्यति,भविष्यत्
क्रोधः विवेकं नाशयिष्यति,क्रोधः,विवेकम्,नाशयिष्यति,भविष्यत्
लोभः पापं वर्धयिष्यति,लोभः,पापम्,वर्धयिष्यति,भविष्यत्
मोहः अज्ञानं द्रढयिष्यति,मोहः,अज्ञानम्,द्रढयिष्यति,भविष्यत्
कामः वासनां दी्पयिष्यति,कामः,वासनाम्,दी्पयिष्यति,भविष्यत्
मदः गर्वं कल्पयिष्यति,मदः,गर्वम्,कल्पयिष्यति,भविष्यत्
मात्सर्यं द्वेषं वर्धयिष्यति,मात्सर्यम्,द्वेषम्,वर्धयिष्यति,भविष्यत्
सुखं शान्तिम् अजनयत्,सुखम्,शान्तिम्,अजनयत्,भूत
दुःखं खेदम् अकरोत्,दुःखम्,खेदम्,अकरोत्,भूत
हर्षः रोमाञ्चम् अकल्पयत्,हर्षः,रोमाञ्चम्,अकल्पयत्,भूत
विषादः अश्रुम् अमुञ्चत्,विषादः,अश्रुम्,अमुञ्चत्,भूत
क्रोधः विवेकम् अनाशयत्,क्रोधः,विवेकम्,अनाशयत्,भूत
लोभः पापम् अवर्धयत्,लोभः,पापम्,अवर्धयत्,भूत
मोहः अज्ञानम् अद्रढयत्,मोहः,अज्ञानम्,अद्रढयत्,भूत
कामः वासनाम् अदी्पयत्,कामः,वासनाम्,अदी्पयत्,भूत
मदः गर्वम् अकल्पयत्,मदः,गर्वम्,अकल्पयत्,भूत
मात्सर्यं द्वेषम् अवर्धयत्,मात्सर्यम्,द्वेषम्,अवर्धयत्,भूत
विप्रः स्वाध्यायं करोति,विप्रः,स्वाध्यायम्,करोति,वर्तमान
क्षत्रियः शस्त्रं धारयति,क्षत्रियः,शस्त्रम्,धारयति,वर्तमान
वैश्यः वाणिज्यं करोति,वैश्यः,वाणिज्यम्,करोति,वर्तमान
शूद्रः सेवां करोति,शूद्रः,सेवाम्,करोति,वर्तमान
यजमानः दक्षिणां ददाति,यजमानः,दक्षिणाम्,ददाति,वर्तमान
पुरोहितः मन्त्रं उच्चारयति,पुरोहितः,मन्त्रम्,उच्चारयति,वर्तमान
अमात्यः मन्त्रणां करोति,अमात्यः,मन्त्रणाम्,करोति,वर्तमान
सेनापतिः सेनां नयति,सेनापतिः,सेनाम्,नयति,वर्तमान
दूतः सन्धिं करोति,दूतः,सन्धिम्,करोति,वर्तमान
चरः वार्तां हरति,चरः,वार्ताम्,हरति,वर्तमान
विप्रः स्वाध्यायं करिष्यति,विप्रः,स्वाध्यायम्,करिष्यति,भविष्यत्
क्षत्रियः शस्त्रं धारयिष्यति,क्षत्रियः,शस्त्रम्,धारयिष्यति,भविष्यत्
वैश्यः वाणिज्यं करिष्यति,वैश्यः,वाणिज्यम्,करिष्यति,भविष्यत्
शूद्रः सेवां करिष्यति,शूद्रः,सेवाम्,करिष्यति,भविष्यत्
यजमानः दक्षिणां दास्यति,यजमानः,दक्षिणाम्,दास्यति,भविष्यत्
पुरोहितः मन्त्रं उच्चारयिष्यति,पुरोहितः,मन्त्रम्,उच्चारयिष्यति,भविष्यत्
अमात्यः मन्त्रणां करिष्यति,अमात्यः,मन्त्रणाम्,करिष्यति,भविष्यत्
सेनापतिः सेनां नेष्यति,सेनापतिः,सेनाम्,नेष्यति,भविष्यत्
दूतः सन्धिं करिष्यति,दूतः,सन्धिम्,करिष्यति,भविष्यत्
चरः वार्तां हरिष्यति,चरः,वार्ताम्,हरिष्यति,भविष्यत्
विप्रः स्वाध्यायम् अकरोत्,विप्रः,स्वाध्यायम्,अकरोत्,भूत
भानुः तिमिरं नाशयति,भानुः,तिमिरम्,नाशयति,वर्तमान
प्रभाकरः लोकं प्रकाशयति,प्रभाकरः,लोकम्,प्रकाशयति,वर्तमान
दिवाकरः कमलं विकासयति,दिवाकरः,कमलम्,विकासयति,वर्तमान
मार्तण्डः रश्मिं विकिरति,मार्तण्डः,रश्मिम्,विकिरति,वर्तमान
सविता जगत् पालयति,सविता,जगत्,पालयति,वर्तमान
रविः तापं ददाति,रविः,तापम्,ददाति,वर्तमान
दिनकरः नभः भूषयति,दिनकरः,नभः,भूषयति,वर्तमान
आदित्यः ग्रहं भ्रामयति,आदित्यः,ग्रहम्,भ्रामयति,वर्तमान
पूषा मार्गं दर्शयति,पूषा,मार्गम्,दर्शयति,वर्तमान
तपनः भूमिं तापयति,तपनः,भूमिम्,तापयति,वर्तमान
भानुः तिमिरं नाशयिष्यति,भानुः,तिमिरम्,नाशयिष्यति,भविष्यत्
प्रभाकरः लोकं प्रकाशयिष्यति,प्रभाकरः,लोकम्,प्रकाशयिष्यति,भविष्यत्
दिवाकरः कमलं विकासयिष्यति,दिवाकरः,कमलम्,विकासयिष्यति,भविष्यत्
मार्तण्डः रश्मिं विकिरिष्यति,मार्तण्डः,रश्मिम्,विकिरिष्यति,भविष्यत्
सविता जगत् पालयिष्यति,सविता,जगत्,पालयिष्यति,भविष्यत्
रविः तापं दास्यति,रविः,तापम्,दास्यति,भविष्यत्
दिनकरः नभः भूषयिष्यति,दिनकरः,नभः,भूषयिष्यति,भविष्यत्
आदित्यः ग्रहं भ्रामयिष्यति,आदित्यः,ग्रहम्,भ्रामयिष्यति,भविष्यत्
पूषा मार्गं दर्शयिष्यति,पूषा,मार्गम्,दर्शयिष्यति,भविष्यत्
तपनः भूमिं तापयिष्यति,तपनः,भूमिम्,तापयिष्यति,भविष्यत्
भानुः तिमिरम् अनाशयत्,भानुः,तिमिरम्,अनाशयत्,भूत
प्रभाकरः लोकम् अप्रकाशयत्,प्रभाकरः,लोकम्,अप्रकाशयत्,भूत
दिवाकरः कमलम् अविकासयत्,दिवाकरः,कमलम्,अविकासयत्,भूत
मार्तण्डः रश्मिम् अविकिरत्,मार्तण्डः,रश्मिम्,अविकिरत्,भूत
सविता जगत् अपालयत्,सविता,जगत्,अपालयत्,भूत
रविः तापम् अददात्,रविः,तापम्,अददात्,भूत
दिनकरः नभः अभूषयत्,दिनकरः,नभः,अभूषयत्,भूत
आदित्यः ग्रहम् अभ्रामयत्,आदित्यः,ग्रहम्,अभ्रामयत्,भूत
पूषा मार्गम् अदर्शयत्,पूषा,मार्गम्,अदर्शयत्,भूत
तपनः भूमिम् अतापयत्,तपनः,भूमिम्,अतापयत्,भूत
निशाकरः कुमुदं बोधयति,निशाकरः,कुमुदम्,बोधयति,वर्तमान
शशाङ्कः शीतलतां ददाति,शशाङ्कः,शीतलताम्,ददाति,वर्तमान
चन्द्रमाः ताराः पश्यति,चन्द्रमाः,ताराः,पश्यति,वर्तमान
सुधांशुः अमृ्तं वर्षति,सुधांशुः,अमृ्तम्,वर्षति,वर्तमान
ओषधीशः ओषधीः पोषयति,ओषधीशः,ओषधीः,पोषयति,वर्तमान
रजनीकरः रात्र्यन्धं हरति,रजनीकरः,रात्र्यन्धम्,हरति,वर्तमान
मृगाङ्कः लाञ्छनं धारयति,मृगाङ्कः,लाञ्छनम्,धारयति,वर्तमान
कलानाथः कलां वर्धयति,कलानाथः,कलाम,वर्धयति,वर्तमान
तारापतिः व्योम भूषयति,तारापतिः,व्योम,भूषयति,वर्तमान
सोमः यज्ञं वर्धयति,सोमः,यज्ञम्,वर्धयति,वर्तमान
निशाकरः कुमुदं बोधयिष्यति,निशाकरः,कुमुदम्,बोधयिष्यति,भविष्यत्
शशाङ्कः शीतलतां दास्यति,शशाङ्कः,शीतलताम्,दास्यति,भविष्यत्
चन्द्रमाः ताराः द्रक्ष्यति,चन्द्रमाः,ताराः,द्रक्ष्यति,भविष्यत्
सुधांशुः अमृ्तं वर्षिष्यति,सुधांशुः,अमृ्तम्,वर्षिष्यति,भविष्यत्
ओषधीशः ओषधीः पोषयिष्यति,ओषधीशः,ओषधीः,पोषयिष्यति,भविष्यत्
रजनीकरः रात्र्यन्धं हरिष्यति,रजनीकरः,रात्र्यन्धम्,हरिष्यति,भविष्यत्
मृगाङ्कः लाञ्छनं धारयिष्यति,मृगाङ्कः,लाञ्छनम्,धारयिष्यति,भविष्यत्
कलानाथः कलां वर्धयिष्यति,कलानाथः,कलाम,वर्धयिष्यति,भविष्यत्
तारापतिः व्योम भूषयिष्यति,तारापतिः,व्योम,भूषयिष्यति,भविष्यत्
सोमः यज्ञं वर्धयिष्यति,सोमः,यज्ञम्,वर्धयिष्यति,भविष्यत्
निशाकरः कुमुदम् अबोधयत्,निशाकरः,कुमुदम्,अबोधयत्,भूत
शशाङ्कः शीतलताम् अददात्,शशाङ्कः,शीतलताम्,अददात्,भूत
चन्द्रमाः ताराः अपश्यत्,चन्द्रमाः,ताराः,अपश्यत्,भूत
सुधांशुः अमृ्तम् अवर्षत्,सुधांशुः,अमृ्तम्,अवर्षत्,भूत
ओषधीशः ओषधीः अपोषयत्,ओषधीशः,ओषधीः,अपोषयत्,भूत
रजनीकरः रात्र्यन्धम् अहरत्,रजनीकरः,रात्र्यन्धम्,अहरत्,भूत
मृगाङ्कः लाञ्छनम् अधारयत्,मृगाङ्कः,लाञ्छनम्,अधारयत्,भूत
कलानाथः कलाम् अवर्धयत्,कलानाथः,कलाम,अवर्धयत्,भूत
तारापतिः व्योम अभूषयत्,तारापतिः,व्योम,अभूषयत्,भूत
सोमः यज्ञम् अवर्धयत्,सोमः,यज्ञम्,अवर्धयत्,भूत
आचार्यः सूत्रं व्याचष्टे,आचार्यः,सूत्रम्,व्याचष्टे,वर्तमान
शिक्षकः पाठं शिक्षयति,शिक्षकः,पाठम्,शिक्षयति,वर्तमान
